ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
441,David Roddy,18,4.5,2.6,1.1
442,Dalen Terry,21,4.5,1.7,1.3
443,Kevon Looney,16,4.5,6.1,1.6
444,Mason Plumlee,8,4.5,6.1,1.8
445,Tony Bradley,28,4.4,3,0.4
446,Lamar Stevens,23,4.4,2.2,0.5
447,Reed Sheppard,26,4.4,1.5,1.4
448,Tre Jones,17,4.4,2.1,3.7
449,Charles Bassey,17,4.4,4.2,0.5
450,Elfrid Payton,15,4.4,3.7,8.1
451,Reggie Jackson,9,4.4,1.4,1.5
452,Patty Mills,30,4.4,1.2,1.2
453,David Roddy,26,4.3,1.7,0.7
454,Micah Potter,30,4.3,4.3,0.8
455,Terrence Shannon Jr.,6,4.3,1.5,1
456,Jevon Carter,21,4.3,1.1,1.1
457,Daniel Theis,15,4.3,4.3,1.6
458,Delon Wright,11,4.3,1.4,2.1
459,Oso Ighodaro,8,4.2,3.6,1.2
460,Cam Spencer,23,4.2,1.2,1.4
461,Duop Reath,29,4.2,2,0.6
462,Dominick Barlow,18,4.2,2.4,0.5
463,Kris Murray,29,4.2,2.6,1
464,Kessler Edwards,5,4.2,2.9,1.1
465,Jordan Miller,24,4.1,1.6,0.9
466,Jaylen Clark,6,4.1,1.3,0.7
467,Caleb Houstan,12,4.1,1.3,0.6
468,Gui Santos,16,4.1,3.1,1.4
469,Paul Reed,10,4.1,2.7,1
470,Jalen Pickett,3,4.1,1.4,2.2
471,Jarred Vanderbilt,4,4.1,5.1,1.1
472,Thomas Bryant,22,4.1,3.2,0.4
473,Ron Harper Jr.,10,4,7,2
474,Malachi Flynn,13,4,1.8,1.8
475,MarJon Beauchamp,24,4,1,0.7
476,Josh Richardson,22,4,1.5,1.5
477,Nicolas Batum,24,4,2.8,1.1
478,JT Thor,27,3.9,3.8,0.5
479,Olivier-Maxence Prosper,5,3.9,2.4,0.8
480,Shake Milton,4,3.9,1.8,1.3
481,Steven Adams,26,3.9,5.6,1.1
482,Kyle Lowry,9,3.9,1.9,2.7
483,Pete Nance,2,3.8,1.8,1.2
484,Branden Carlson,1,3.8,1.7,0.4
485,Devin Carter,14,3.8,2.1,1.1
486,Ousmane Dieng,1,3.8,2.2,0.8
487,Jaden Springer,30,3.8,2,1.4
488,Cody Martin,8,3.7,3.4,1.1
489,Jackson Rowe,16,3.7,1.8,0.7
490,Craig Porter,20,3.7,1.3,1.4
491,Emoni Bates,20,3.7,0.7,0.8
492,Blake Wesley,17,3.7,1.1,2
493,DeAndre Jordan,3,3.7,5.1,0.9
494,Jaylon Tyson,20,3.6,2,0.9
495,Baylor Scheierman,7,3.6,2.1,1.1
496,Jae'Sean Tate,26,3.6,2.3,0.9
497,Marvin Bagley III,23,3.6,2.3,0.3
498,Luka Garza,6,3.5,1.4,0.3
499,Dario Saric,3,3.5,3.1,1.4
500,Doug McDermott,14,3.5,0.5,0.2
501,Cory Joseph,12,3.5,1.5,1.4
502,Jamaree Bouyea,2,3.4,1,2
503,Isaac Jones,14,3.4,1.4,0.3
504,Andre Jackson Jr.,2,3.4,2.7,1.2
505,Lindy Waters III,10,3.4,1,0.7
506,Bruno Fernando,25,3.4,3,1.1
507,Kylor Kelley,15,3.3,6,1
508,Javonte Green,20,3.3,2.2,0.6
509,Nate Williams,26,3.3,0.7,0.5
510,Kevin Knox II,16,3.3,1.2,0.4
511,Damion Lee,8,3.3,0.8,0.4
512,Elijah Harkless,30,3.2,2.1,0.8
513,Wendell Moore Jr.,10,3.2,2.2,1.2
514,Zeke Nnaji,3,3.2,1.6,0.4
515,Moses Brown,28,3.2,1.4,0
516,Cam Reddish,4,3.2,2,0.7
517,JT Thor,20,3.1,0.7,0.1
518,Patty Mills,24,3.1,0.1,0.4
519,Patrick Baldwin Jr.,24,3,1.5,0.5
520,P.J. Tucker,11,3,2.7,0
521,Rayan Rupert,29,3,1.3,0.5
522,Taze Moore,29,3,4,0.5
523,Kylor Kelley,5,3,2.6,0.3
524,Maxi Kleber,5,3,2.8,1.3
525,Gary Harris,12,3,1.3,0.6
526,AJ Johnson,2,2.9,1,1
527,Tyler Smith,2,2.9,1.1,0.2
528,Markelle Fultz,14,2.9,1,1.3
529,Ben Simmons,24,2.9,3.8,3.1
530,Taj Gibson,13,2.9,3.2,0.6
531,RayJ Dennis,28,2.7,1.1,1.3
532,Keshad Johnson,22,2.7,1.8,0.3
533,Reece Beekman,19,2.7,1.1,1.8
534,David Duke Jr.,17,2.7,0.8,0.7
535,Drew Eubanks,24,2.7,2.4,0.4
536,Torrey Craig,7,2.7,2.8,0.7
537,Trey Jemison,4,2.6,2.8,0.3
538,Hunter Tyson,3,2.6,1.5,0.4
539,Josh Minott,6,2.6,1,0.4
540,Jae Crowder,14,2.6,2.2,0.7
541,Chuma Okeke,20,2.5,2,1
542,Mo Bamba,15,2.5,6.3,0.5
543,MarJon Beauchamp,11,2.5,1.5,0.2
544,Dillon Jones,1,2.5,2.2,1.1
545,Pat Spencer,16,2.5,1.2,1.2
546,Anthony Gill,27,2.5,1.3,0.3
547,Jordan McLaughlin,17,2.5,0.5,1.5
548,Delon Wright,2,2.5,1.8,1.8
549,Trey Jemison,15,2.4,2.8,0.6
550,Christian Koloko,4,2.4,2.5,0.4
551,Johnny Davis,27,2.4,1.1,0.3
552,Jericho Sims,2,2.4,4.9,0.8
553,John Konchar,23,2.4,3.3,0.9
554,Miles Norris,7,2.3,3,0
555,Bronny James,4,2.3,0.7,0.8
556,Lester Quinones,9,2.3,1,0.3
557,Mason Jones,14,2.3,0.9,1.1
558,Drew Peterson,7,2.2,1.6,0.5
559,TyTy Washington Jr.,8,2.2,0.8,1
560,Kai Jones,24,2.2,1.6,0.4
561,Alex Len,4,2.2,3.1,0.8
562,Enrique Freeman,28,2.1,1.4,0.4
563,Johnny Furphy,28,2.1,1.4,0.4
564,Pete Nance,9,2.1,1.4,0.4
565,JD Davison,7,2.1,0.8,0.8
566,Patrick Baldwin Jr.,27,2.1,1,0.1
567,Orlando Robinson,14,2.1,1.6,1
568,Chris Duarte,21,2.1,1.2,0.5
569,Dwight Powell,5,2.1,2.1,1
570,Sidy Cissoko,29,2,2.2,1.8
571,Tyler Kolek,11,2,0.7,1.7
572,Alex Reese,1,2,1,0
